avis,sentiment
"Wa hostie c’est chaud de night comment les profs sont pete. Sur tout les profs de mes 2 ans de dut informatique, y’en a 2 qui étaient bien. Les autres sont pas pédagogues DU TOUT, donc à moins que vous soyez un génie de l’informatique de base (comme moi 💁‍♂️), vous allez galérer. Allez à celui de Orsay. …",1
Bonne université.,1
"C'est mon université et mon Labo (LISV).
Excellentes recherches et sérieux travaux académiques.",1
"IUT rappelant les méandres des bas fonds brésilien, à côté les favelas donne envie d'y vivre, les bâtiments m'inspire un sentiment de crainte face à l'effondrement probable de la structure.
L'enseignement apporté est tout aussi passionnant qu'un reportage sur la reproduction des tortues, la fréquentation de personnalité plus que douteuse entraîne chez moi une sensation des plus désagréable pour ma chère vielle France.",0
"Certes l'environnement de travail n'est pas excellent : bâtiments vétustes, cantine passable, vie étudiante quasi-inexistante... MAIS avec le recul, les enseignements sont globalement de très bonne qualité, le matériel plus que correct et l'accompagnement lors de la recherche de stages/emplois bien meilleur que dans d'autres écoles. En continuant en Bac+5, on se rendra compte que l'on apprend plus en 1 an dans ces hangars qu'en 2 ans de Master dans une fac réputée...
Je n'ai jamais remarqué de problème d'emploi pour moi et mes collègues de promo, les recruteurs connaissent l'IUT et certains viennent même vers vous. N'est-ce pas le plus important ?",1
"Regardez sous la machine à café secrète, il y a un Easter egg sympa.",1
"Je n'ai pas payé de frais de scolarité piur passer mes journées dans un hangar qui ressemble à rien, on dirait un open space mal fait .... et quand vous vous plaignez on vous dit que c'est difficile pour l'IUT de s'en sortir.. entre les murs en carton, le plafond qui est absent et l'administration sous anxiolytiques tellements ils sont lents, je pense que le bâtiment va nous tomber sur la tête un jour ou l'autre et que tout le monde s'en fout...",0
"L’Institut universitaire de technologie de Vélizy est une composante de l'université de Versailles-Saint-Quentin-en-Yvelines dans les Yvelines.
/
Copyright © Engueran Dubroca
Contact pictureshot.fr",1
"Très bonne établissement
La plupart des profs sont à l'écoute des élèves

BDE sur le déclin du au coronavirus",1
"Très bon établissement, équipe pédagogique au top, je recommande le dut informatique !",1
