avis,sentiment
"Tout simplement mon bar préféré sur Lyon (cliente très régulière)! L’intérieur est très agréable l’été quand il fait chaud, un peu bruyant en soirée hélas mais le bar est victime de son succès ;). Les bières sont très bonnes et la carte varie souvent. Mais ce que je retiens le plus c’est l’équipe plus que sympathique et humaine avec qui je passe de bons moments. Je recommande vivement Les Berthom Lyon Opéra ! <3",1
"Un lieu où on se sent bien ! Une équipe formidable prête à se plier en quatre pour nous et très réactive ! Les simples bonsoirs à l’arrivée et bonne soirée au départ sont très agréables.
Large choix de boissons alcoolisées ou non, leurs chaussons sont délicieux.
Je recommande fortement,
À très bientôt !",1
"J'ai adoré me sentir dehors tout en étant dedans,
Véritable identité Lyonnaise,
j'aime le calme effervescent de cet endroit,
Un brouillon bien rangé.
Très large choix de découverte : entre bière et chouettes humains soucieux du bon conseil,
On aime se laisser voguer dans la mousse..
Une expérience que je ne saurais que recommander.
Bonne navigation a tous.",1
"Bar très cool avec un excellent service !

Il offre un large choix de bière.

Les choix de nourriture sont un peu plus limités mais de qualités ! En combinant quelques options ils sont très efficaces !",1
"Super ambiance. Les bières sont très bonnes, les serveurs très gentils et sympa. N’hésite pas à faire goûter les bières. Prix abordable",1
"Bar chaleureux, ambiance accueillante et conviviale. On se sent tout de suite à l’aise. L’équipe est professionnelle, souriante et de bons conseils. Ils pensent à tout dans les moindres détails, jusqu’aux protections hygiéniques dans les toilettes des filles. Je recommande les yeux fermés…",1
"Toujours sympas, des bières cools, qui varient de temps en temps et un happy hour de 17h a 20h a des prix vraiment top !

L'ambiance est chaleureuse et bon vivant, la terrasse dehors permet de s'aérer l'été, et le choix des musiques est sympa si on tend l'oreille mais n'etouffe pas les conversations

Recommandé direct en fait",1
"Bonne ambiance, déco et organisation, j'apprécie que le service place les gens au bon endroit et la musique me plaît aussi. Très bien.",1
"Bar super chaleureux avec un personnel cool ,au top et de bon conseil ,large choix de bières ,petite restauration faite de bons produits locaux, endroit incontournable pour passer un bon moment de détente, succès mérité.",1
"Nickel. Jolie sélection de bières, service à table, c’est suffisamment rare dans ce type de bar pour le souligner, personnel compétent et de bon conseils!",1
